location,public_hours,winter_play,type,lights,courts,place,additional,latitude_old,longitude_old,coord_mannual,latitude,longitude
Angela James Arena - Tennis Court Area,,Yes,Public,Yes,4,Angela James Arena,,43.7131471,-79.32758388,"43.71278087406825, -79.32845248900274",43.71278087,-79.32845249
Birchmount Park Book Online,,Yes,Public,Yes,2,Birchmount Park,,43.7141672,-79.271109,"43.69732320626006, -79.26161601724253",43.69732321,-79.26161602
Chalkfarm Park,,Yes,Public,No,2,Chalkfarm Park,,43.726634,-79.515717,"43.72665804429016, -79.5157512289593",43.72665804,-79.51575123
Champlain Parkette Book Online,,,Public,No,2,Champlain Parkette,,43.732184,-79.44462,,43.732184,-79.44462
Elizabeth Simcoe ParkClub: Guildwood Tennis ClubWebsite: http://www.guildwoodtennis.comMembership: Open,Sundays 3 p.m. - 6 p.m.Saturdays 3 p.m. - 6 p.m.Holidays 3 p.m. - 6 p.m.,,Club,Yes,4,Elizabeth Simcoe Park, Guildwood Tennis ClubWebsite: http://www.guildwoodtennis.comMembership: Open,43.73924,-79.205198,,43.73924,-79.205198
Firgrove Park,,Yes,Public,No,3,Firgrove Park,,43.750671,-79.520868,,43.750671,-79.520868
"Giovanni Caboto Rink, Pool and Tennis Courts",,,Public,Yes,1,Giovanni Caboto Rink,,43.794452,-79.559295,,43.794452,-79.559295
Gracedale Park,,Yes,Public,No,3,Gracedale Park,,43.751747,-79.563254,,43.751747,-79.563254
Hullmar Park,,Yes,Public,Yes,3,Hullmar Park,,43.765142,-79.525285,,43.765142,-79.525285
Jonathan Ashbridge Park Book Online,,Yes,Public,No,2,Jonathan Ashbridge Park,,43.66465065,-79.31986165,,43.66465065,-79.31986165
L'Amoreaux Tennis CentreClub: Scarborough Winter Tennis ClubWebsite: http://www.swtc.ca,,,Club,Yes,5,L'Amoreaux Tennis Centre, Scarborough Winter Tennis ClubWebsite: http://www.swtc.ca,43.806226,-79.304856,,43.806226,-79.304856
Lanyard Park,,Yes,Public,No,3,Lanyard Park,,43.747261,-79.548781,,43.747261,-79.548781
Lawrence Park RavineClub: Lawrence Park Tennis ClubWebsite: http://www.lawrenceparktennisclub.caMembership: Waitlist,,,Club,Yes,3,Lawrence Park Ravine, Lawrence Park Tennis ClubWebsite: http://www.lawrenceparktennisclub.caMembership: Waitlist,43.720652,-79.399176,,43.720652,-79.399176
Major Abbas Ali ParkClub: Major Abbas Ali Park,Tuesdays 4 p.m. - 6 p.m.Wednesdays 4 p.m. - 6 p.m.Thursdays 4 p.m. - 6 p.m.Saturdays 4 p.m. - 6 p.m.Sundays 4 p.m. - 6 p.m.Holidays 4 p.m. - 6 p.m.,,Club,Yes,3,Major Abbas Ali Park, Major Abbas Ali Park,43.803519,-79.231786,,43.803519,-79.231786
Martingrove Gardens Park,,,Public,Yes,3,Martingrove Gardens Park,,43.689532,-79.563656,,43.689532,-79.563656
Maryvale ParkClub: Maryvale Tennis ClubWebsite: http://www.maryvaletennis.blogspot.caMembership: Open,Sundays 12 p.m. - 3 p.m.Saturdays 12 p.m. - 3 p.m.Holidays 12 p.m. - 2 p.m.,Yes,Club,Yes,3,Maryvale Park, Maryvale Tennis ClubWebsite: http://www.maryvaletennis.blogspot.caMembership: Open,43.753881,-79.30588,,43.753881,-79.30588
Old Mill Site ParkClub: York Old Mill Tennis ClubWebsite: http://www.oldmilltennis.comMembership: Open,Saturdays 5 p.m. - 11 p.m.Holidays 2 p.m. - 4 p.m.,,Club,Yes,4,Old Mill Site Park, York Old Mill Tennis ClubWebsite: http://www.oldmilltennis.comMembership: Open,43.650965,-79.490267,,43.650965,-79.490267
Park Lawn Park Book Online,,,Public,Yes,4,Park Lawn Park,,43.6370841,-79.49462934,"43.63912873703336, -79.49543844032806",43.63912874,-79.49543844
Royal Crest Park,,,Public,Yes,3,Royal Crest Park,,43.752511,-79.60501,,43.752511,-79.60501
Scarboro Crescent ParkClub: Scarborough Bluffs Tennis ClubWebsite: http://www.sbtennis.orgMembership: Open,Sundays 5 p.m. - 8 p.m.Saturdays 5 p.m. - 8 p.m.Holidays 2 p.m. - 4 p.m.,Yes,Club,Yes,4,Scarboro Crescent Park, Scarborough Bluffs Tennis ClubWebsite: http://www.sbtennis.orgMembership: Open,43.705344,-79.242218,,43.705344,-79.242218
Sunnydale Acres Park,,,Public,Yes,4,Sunnydale Acres Park,,43.724463,-79.578293,,43.724463,-79.578293
Tam Heather Country Club Grounds,,,Club,Yes,4,Tam Heather Country Club Grounds,,43.791062,-79.198045,,43.791062,-79.198045
Three Valleys ParkClub: Parkway Valley Tennis ClubWebsite: http://www.pvtc.ca,,,Club,Yes,2,Three Valleys Park, Parkway Valley Tennis ClubWebsite: http://www.pvtc.ca,43.750427,-79.338912,,43.750427,-79.338912
Tournament ParkClub: Tournament Park Tennis ClubWebsite: http://www.tournamentpark.comMembership: Open,Saturdays 9 p.m. - 11 p.m.Sundays 9 p.m. - 11 p.m.,,Club,Yes,4,Tournament Park, Tournament Park Tennis ClubWebsite: http://www.tournamentpark.comMembership: Open,43.75095,-79.400155,,43.75095,-79.400155
Valleyfield Park,,,Public,No,1,Valleyfield Park,,43.694871,-79.534175,,43.694871,-79.534175
Withrow Park and Clubhouse,,Yes,Public,No,2,Withrow Park and Clubhouse,,43.676011,-79.348435,,43.676011,-79.348435
